MCAT Name,Unit,Unit wise Min Price,Unit wise Max Price,Most Common Price 1,Most Common Price 2,Most Common Price 3,ISQ Name,ISQ Options,ISQ Min Price,ISQ Max Price
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,20 HP,500000.0,550000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,7.5 HP,180000.0,180000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,10 HP,330000.0,400000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,15 HP,210000.0,340000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,1 HP TO 150 HP,220000.0,220000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Horse Power,3 to 15 hp,150000.0,150000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate (CFM),101,550000.0,550000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate (CFM),47,330000.0,330000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate (CFM),88,500000.0,500000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate (CFM),5 CFM TO 1500 CFM,220000.0,220000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate (CFM),62,340000.0,340000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Model,ECI-100D,250000.0,250000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Model,AERO,120000.0,120000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Model No,SEM Series,150000.0,150000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Power Source,AC Three Phase,400000.0,400000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Power Source,Electric DC,220000.0,220000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Compressor Technology,Screw,400000.0,400000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Compressor Technology,Screw Compressor,185000.0,500000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Brand,Kaeser,500000.0,550000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Brand,BAC,185000.0,210000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Brand,Atlas Copco,220000.0,220000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,65 cfm,210000.0,210000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,45 cfm,185000.0,185000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,15 - 500 CFM,400000.0,400000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,501 - 1000 cfm,300000.0,300000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,121 - 500 cfm,220000.0,220000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,8.5 to 59 cfm and 4.0  to 27.8 I/s,150000.0,150000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,21 - 50 cfm,230000.0,330000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Maximum Flow Rate,51 - 120 cfm,500000.0,550000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Model Number/Name,BAC-SD-10,185000.0,185000.0
Rotary Screw Compressors,Piece,150000.0,550000.0,500000.0,550000.0,220000.0,Model Number/Name,BAC-SVFD-15,340000.0,340000.0
